country,year,S,E,H,R_proxy
CAN,2016,3.0341045091297927,5.545128784379248,7.27307855670412,0.2341825598877005
CAN,2017,2.9913369951953213,5.6191029931023495,7.361484716269093,0.2520797300258588
CAN,2018,2.8583962246229575,5.615481702774325,7.370774104104743,0.24703592518990225
CAN,2019,2.7894036085200713,5.5996148628352245,7.399568699118034,0.254780460597666
CAN,2020,3.1555338351244258,5.911095005978105,7.441874662377661,0.2835831152410486
CAN,2021,2.8355024666278847,5.8333715903962045,7.342500565652827,0.2961742169889201
CAN,2022,2.6815142496759656,5.665082791193217,7.446521843303703,0.3263217010624108
AUS,2000,2.9792127266115283,4.700365480291513,7.057699000026946,0.26570953837793476
AUS,2001,3.065142800947865,4.7298882542769265,7.118430492063902,0.24971900530054203
AUS,2002,2.988043401949561,4.81731646167292,7.134102557249238,0.261835234313545
AUS,2003,2.9548182667089145,4.8520317318274175,7.1751039030829915,0.2069424403968908
AUS,2004,2.8361127498183194,4.949330422748772,7.1821653618763825,0.17314568883397013
AUS,2005,2.8734421301727027,4.961248666907645,7.180853462675972,0.16744479929884235
AUS,2006,2.9108370368783394,4.989001610276639,7.100276959454338,0.18156466347726524
AUS,2007,2.9131097920435485,5.041770204722026,7.075930110243678,0.15798488683105244
AUS,2008,2.9597884081735417,5.111614820460846,7.061743015023492,0.15868456133306752
AUS,2009,3.101054281389717,5.168219592491991,7.091096938844564,0.156460066921057
AUS,2010,3.015117012834603,5.156090600455778,7.1511112895729925,0.13028056850387348
AUS,2011,2.9872560829708474,5.1987038102952345,7.174891422622878,0.1398424415989742
AUS,2012,2.9747734244857167,5.269365264424593,7.19741843799163,0.1334794044645959
AUS,2013,3.0377555919497055,5.303252574214182,7.274416753105803,0.1320516608161712
AUS,2014,3.0728403203697585,5.542170716361642,7.320246706671109,0.12813725720106617
AUS,2015,3.0430358620315783,5.618616604689749,7.343281656681363,0.12105542406933788
AUS,2016,2.9631613962443017,5.633880076946924,7.41140407527435,0.11268470808661267
AUS,2017,2.988817855106283,5.651062646859631,7.428120051473782,0.0980123101204672
AUS,2018,2.9779862849441763,5.67614635398098,7.456192815882614,0.1041933575937188
AUS,2019,2.9431005503132255,5.7243706322833345,7.55673401564853,0.10469820840076102
AUS,2020,3.092560811380343,5.784325073642342,7.666365714716773,0.10079034931398183
AUS,2021,2.8848232057504486,5.767745359640448,7.537090650726959,0.08245648841412427
AUS,2022,2.724091318911941,5.585170436037739,7.474866044042126,0.09779128004618735
NLD,2000,2.215718773247048,4.788938581331828,6.610370675018669,0.14266175196161077
NLD,2001,2.183329062289455,4.935540427651379,6.688525500771334,0.16298324579541656
NLD,2002,2.265602574807613,5.085759867850007,6.722645769505008,0.15483797290542256
NLD,2003,2.379310461363245,5.258099132119239,6.824275441721199,0.16074167056641359
NLD,2004,2.458768304059971,5.313236228803526,6.929408551973705,0.14935319857830368
NLD,2005,2.5132966681244637,5.370565143992162,6.987477483695554,0.13242749269907503
NLD,2006,2.487491979915384,5.410215453371787,6.985372563931605,0.08764089762459265
NLD,2007,2.3498065482835835,5.41728057804698,6.959232422582744,0.10183756965752669
NLD,2008,2.3007604179407357,5.561845129111863,6.985498147907858,0.108018934119807
NLD,2009,2.345324709352808,5.767896079011894,7.165965044086523,0.11109326258410487
NLD,2010,2.3177448147354194,5.854334923673491,7.21335622477988,0.10081484949879795
NLD,2011,2.3073587006648792,5.8772963229135415,7.280885078127816,0.09921904477212874
NLD,2012,2.427476699149543,5.886175855866216,7.2892764729116015,0.1005921936927136
NLD,2013,2.613797498244675,5.939020061129838,7.402400888837355,0.08136630776203507
NLD,2014,2.6539850690248907,5.92328179463384,7.380161097112665,0.07905746527880646
NLD,2015,2.5476362743509915,5.855049061134205,7.355547016192858,0.060815690954813845
NLD,2016,2.448939253694898,5.888929148410661,7.409468395733261,0.05099335862763968
NLD,2017,2.3444127175057488,5.820062263988556,7.340758121991036,0.08545206398993263
NLD,2018,2.2043595919720618,5.92215462992129,7.454681361940044,0.0554047841139215
NLD,2019,2.2619886157813514,5.88888746466386,7.415944800941456,0.07754279817062923
NLD,2020,2.106743900783461,6.080565854743504,7.466477796479823,0.07328425804754445
NLD,2021,1.940722129522074,6.295279832268659,7.417075829698921,0.07720441495261268
NLD,2022,1.896112274403241,6.093069265050308,7.496325143836015,0.09125303628833065
CHE,2000,2.559677089788402,5.538474379950261,7.05013502234483,0.11706626444936614
CHE,2001,2.5020249892595565,5.6984253855596,7.296966389612749,0.15370284781134194
CHE,2002,2.498383795304952,5.9157275133644545,7.463779913861195,0.15233686301365051
CHE,2003,2.623497227003967,6.036400563570067,7.569213092221124,0.1404292760323034
CHE,2004,2.5913493066768094,6.074610585204717,7.568537948686296,0.1285216890509563
CHE,2005,2.71458709970046,5.995703217307333,7.485162423978939,0.11661410206960918
CHE,2006,2.7541456686838632,5.884872259964265,7.386885406731008,0.10470651508826206
CHE,2007,2.7617678310928846,5.822378694868459,7.282384614910742,0.09279892810691495
CHE,2008,2.707575465359118,5.962964451739097,7.364597133046565,0.08089134112556784
CHE,2009,2.7925774947294655,6.057711068625344,7.422918052151914,0.06898375414422073
CHE,2010,2.7393243772663354,6.033895852932976,7.371110833300743,0.06983857378463033
CHE,2011,2.634521610728995,6.099534944519395,7.443576592094968,0.05655526170297692
CHE,2012,2.644045657316782,6.1671220040239865,7.462047581255483,0.0535802332567359
CHE,2013,2.750336515624115,6.2434730525017725,7.479563924739918,0.07622020304365965
CHE,2014,2.7504854582622515,6.298490968982466,7.510024477322354,0.043691038208573646
CHE,2015,2.739227549470372,6.401916722933834,7.505595574981334,0.07360507658755833
CHE,2016,2.811762765554609,6.4682694439115975,7.576214536136306,0.04955052875648833
CHE,2017,2.778915136030186,6.530678475949892,7.606519197311567,0.048752116701590055
CHE,2018,2.7786494066900893,6.519478111211804,7.590561469855019,0.05749428518510988
CHE,2019,2.8608645023368924,6.6141564505748205,7.684099282989159,0.049385469763157115
CHE,2020,2.936311076385636,6.7546068047251415,7.719722845123447,0.05060760258838579
CHE,2021,2.832537839653484,6.778704184826469,7.6316122537798945,0.04078282305462689
CHE,2022,2.78020141099287,6.704250111805496,7.67755114401573,0.04003736263130453
FIN,2000,2.849762349960825,4.813670558270438,7.032818835210645,0.4200272214900503
FIN,2001,2.828796205011687,4.943798873568486,7.143238169934414,0.44359628219125546
