country,year,S,E,H,R
PRY,2007,4.876584627802709,6.375566047552933,5.241452572725332,1.5165336374002276
PRY,2008,4.6066356302162745,6.862445745982919,5.282022222967384,1.345496009122007
PRY,2009,4.681097398205293,6.938543646238694,5.3252093372908105,1.20866590649943
PRY,2010,4.5743402406058475,6.971206599587081,5.386085684340384,1.1858608893956664
PRY,2011,4.831443734638305,6.9394948684038305,5.771812085210179,1.2200684150513101
PRY,2012,4.410092081781702,6.699695471496654,5.794759501051934,1.4025085518814144
PRY,2013,4.312916315790589,5.931682538970012,5.446730122570642,1.6761687571265682
PRY,2014,4.700421105143787,6.011525017308857,5.4205546627314405,1.5963511972633988
PRY,2015,4.39558191171824,6.008638254888206,5.70444573930196,1.584948688711517
PRY,2016,4.473393542629093,5.999866811747857,5.757206411444263,1.4937286202964657
PRY,2017,4.612006929621407,6.0108392951687595,5.64131853458229,1.5279361459521095
PRY,2018,4.408431420559675,6.108719250432513,5.750945161603009,1.5051311288483475
PRY,2019,4.481247770781042,6.136443037583426,5.84770746103868,1.5051311288483475
PRY,2020,4.37641351996948,6.182679645748118,5.951603336977392,1.9840364880273658
PRY,2021,4.207289985739216,6.2585878326782485,5.373490510231048,1.9840364880273658
PRY,2022,4.378530980322484,6.278512686368892,5.741295780536023,2.1094640820980617
GTM,2000,4.783054357909561,5.66426342322193,3.986402862095287,3.2155074116305595
GTM,2001,4.819713439074524,5.669739874481515,4.059283524392721,3.2155074116305595
GTM,2002,4.79858697956464,5.672478100111306,4.165095989475887,3.2155074116305595
GTM,2003,4.881952684166318,5.67527520663914,4.262870281975948,3.2155074116305595
GTM,2004,4.893137431694614,5.769743338034594,4.329895066765292,3.055872291904219
GTM,2005,4.903565289769427,5.788038143566549,4.41085223336053,3.055872291904219
GTM,2006,4.861199155913682,5.789458598112003,4.534699226631254,3.0786773090079826
GTM,2007,4.758066069279274,5.865897379492409,4.669795732778373,3.0672748004561
GTM,2008,4.741088268077581,5.935639061961423,4.822270163599916,3.044469783352338
GTM,2009,4.7480864806298175,5.942315736210533,4.8222201445003385,3.055872291904219
GTM,2010,4.6604706520124655,5.9324243925041555,4.815628701616089,3.0102622576966933
GTM,2011,4.530395091099869,5.897830451933709,4.943894272509907,3.0102622576966933
GTM,2012,4.435144510619539,5.865416571002459,5.0320173349650466,3.033067274800456
GTM,2013,4.37380294211613,6.065827492521802,5.038077581700235,2.9988597491448123
GTM,2014,4.254558295268272,6.08863873011965,5.11509096845186,2.9988597491448123
GTM,2015,4.237755647908051,6.242960552152082,5.162072494929045,2.9874572405929296
GTM,2016,4.270526063155938,6.4040838589208935,5.185850148268819,2.930444697833523
GTM,2017,4.250598769691095,6.338662533562525,5.282836773108901,2.7251995438996577
GTM,2018,4.223660180627608,5.99624674370675,5.406902028326182,2.816419612314709
GTM,2019,4.201062438783125,6.065449157367215,5.5244372538879105,2.6225769669327246
GTM,2020,4.381360658394778,6.006547081002944,5.488041930059999,2.770809578107184
GTM,2021,4.126144897604119,5.58928948283592,5.275405796492555,2.770809578107184
GTM,2022,4.284682576320572,5.0884687578825805,5.630021882449658,3.169897377423033
CRI,2000,4.42330556428561,9.475939408546664,6.6677647608266595,0.20524515393386444
CRI,2001,4.9198506206991865,9.477359863092119,6.810715724757574,0.19384264538198437
CRI,2002,4.982948403075468,9.481630944112885,7.0419760148415635,0.19384264538198437
CRI,2003,4.75254186577339,9.48421092347305,7.101832044308321,0.19384264538198437
CRI,2004,4.641755411808854,9.480232814674853,7.065609066742471,0.20524515393386444
CRI,2005,4.5944162223173795,9.460859868344077,7.039177291562408,0.21664766248574807
CRI,2006,4.622233506936636,9.472591583232596,7.05704845995746,0.21664766248574807
CRI,2007,4.464416346684452,9.486322585261703,7.058889633062684,0.22805017103762815
CRI,2008,4.4972661033441845,9.486322585261703,7.147552218051501,0.22805017103762815
CRI,2009,5.085013885273537,9.494114089756192,7.605405172066525,0.22805017103762815
CRI,2010,4.657867716180929,9.50094064681278,7.883836329978561,0.21664766248574807
CRI,2011,4.992406028311128,9.504759274122467,7.80891980318453,0.21664766248574807
CRI,2012,4.903422562825545,9.507786210887257,7.925781318274741,0.17103762827822067
CRI,2013,4.928762267785794,9.476599271226128,8.027633012879305,0.21664766248574807
CRI,2014,4.881296218331931,9.49776019833282,8.016734627347327,0.18244013683010252
CRI,2015,4.851323550537636,9.495466751977826,8.107082159222886,0.19384264538198437
CRI,2016,4.835313833481508,9.477774032603373,8.106998862096662,0.1596351197263406
CRI,2017,4.759866305060097,9.446114449013507,8.191830594828405,0.20524515393386444
CRI,2018,4.889840070097343,9.371214699636933,8.090504850954133,0.7411630558722919
CRI,2019,5.096870905883955,9.424335855850261,8.154051094928048,0.41049030786773066
CRI,2020,5.888791767337945,9.436502095352457,8.147086154510609,0.38768529076396874
CRI,2021,5.488774144579507,9.428502075192991,7.911517818360518,0.38768529076396874
CRI,2022,5.009596475324135,9.2987274694583,7.763160300985163,0.46750285062713814
PAN,2000,5.412646397722655,7.183214308694387,6.24188914503144,0.9122006841505126
PAN,2001,5.489449320212155,7.219160643540263,6.019597142012407,0.8551881413911051
PAN,2002,5.4055385803760565,7.219160643540263,6.088601511126728,0.8551881413911051
PAN,2003,5.312464126712891,7.219160643540263,6.108536670874024,0.8551881413911051
PAN,2004,5.160880804551754,7.252146616315701,5.889266547535658,0.8323831242873432
PAN,2005,5.049636812249098,7.146270753980653,5.923820370838058,0.8323831242873432
PAN,2006,5.07999518992343,7.146270753980653,5.946779149694471,0.8323831242873432
PAN,2007,4.827263309667389,7.146270753980653,5.95955948523923,0.8323831242873432
PAN,2008,4.8758091634736624,7.146270753980653,5.971515771558212,0.8323831242873432
PAN,2009,4.96148560052325,7.124822248447637,5.959643457872873,0.8551881413911051
PAN,2010,4.862990135982651,7.131056930586832,5.934131735807028,0.8893956670467489
PAN,2011,4.5449452444100835,7.131056930586832,5.900551103103989,0.8893956670467489
PAN,2012,4.587783660604713,7.131056930586832,5.92764595788852,0.8893956670467489
PAN,2013,4.62405356341819,7.069891976223768,5.962572972949718,0.866590649942987
PAN,2014,4.631810709727592,7.066725973898892,5.993395501011949,0.866590649942987
PAN,2015,4.643554185689691,7.1327185056486115,6.0941149925644105,0.7753705815279357
PAN,2016,4.656817292193342,7.128305294863306,6.147341341298343,0.7753705815279357
PAN,2017,4.6523841253313485,7.18482272933551,6.201361842602929,0.8893956670467489
PAN,2018,4.598235060366254,7.1362967096048155,6.293527292592444,1.1858608893956664
PAN,2019,4.781488288082494,7.111867043445759,6.312109142657796,1.20866590649943
PAN,2020,6.064658712596005,7.110670130347113,6.571351782797463,1.2884834663625995
PAN,2021,5.050536988091709,7.206219592760883,6.421242280840992,1.1630558722919044
PAN,2022,4.930879040936551,7.329455386045969,6.499565430305563,1.094640820980615
DOM,2000,4.935841376466111,5.785696058815468,4.7689475173327684,1.356898517673887
DOM,2001,4.915271185401056,5.7630124377111756,4.8382137669911565,1.356898517673887
DOM,2002,4.800150404325442,5.7382260634901465,4.866448004508367,1.356898517673887
DOM,2003,5.147165077232279,5.712070576454221,4.885207895224973,1.356898517673887
DOM,2004,5.011588998084657,5.6880751893262556,4.927592957415188,1.356898517673887
DOM,2005,4.718942390016077,5.757925627569458,5.010207005838571,1.356898517673887
DOM,2006,4.817389827606303,5.761238516692201,5.0664824254882115,1.345496009122007
DOM,2007,4.49959862271397,5.769868432854349,5.0882528385213535,1.345496009122007
DOM,2008,4.455395293203925,5.775321520836385,5.068329521408889,1.345496009122007
DOM,2009,4.644827911053799,5.779468519372857,5.05466594094809,1.345496009122007
DOM,2010,4.336020549761489,5.748893147803141,5.082931195399335,1.3683010262257707
DOM,2011,4.555719555420942,5.665872284784304,5.134790054064605,1.3797035347776507
DOM,2012,4.475082058639705,5.694362432966684,5.510772901585284,1.3797035347776507
DOM,2013,4.654795713673122,5.598569418416291,5.87438237241244,1.4367160775370582
DOM,2014,4.225425794124165,5.580437989447706,5.893932519790205,1.4367160775370582
DOM,2015,4.404531549158536,5.518376003026914,5.884511354701414,1.5279361459521095
DOM,2016,4.423201342718678,5.480948470553572,5.981145037756167,1.4823261117445838
DOM,2017,3.986763309765828,5.434663391877792,6.055295137138465,1.4937286202964657
DOM,2018,4.077521691991154,5.502315580970316,6.074766744626861,1.3226909920182433
DOM,2019,3.994319026528598,5.492351725967705,6.097314214545011,1.4595210946408201
DOM,2020,3.9757980544063276,6.634882028753416,6.2573144867183075,1.0718358038768532
DOM,2021,3.648012584720344,6.857085565302283,5.845418697084491,1.0832383124287333
DOM,2022,3.430022444338823,6.8192450293231435,6.08134553252516,1.0832383124287333
TUR,2000,3.9287911084253393,6.240890915204917,5.998084565903898,4.76624857468643
TUR,2001,4.340917026413896,6.291485560786036,6.0791442443509425,4.640820980615735
TUR,2002,4.335958902328928,6.747533609050501,6.1755723574999175,3.5005701254275934
TUR,2003,4.4418401963438825,6.806413991972231,6.237420569411604,3.0786773090079826
TUR,2004,4.313046791759323,6.7898723940428205,6.267230669340816,2.953249714937286
TUR,2005,4.429967649167108,6.680064473158046,6.291740672367336,3.0102622576966933
TUR,2006,4.135742512934568,6.667928485497864,6.3190389408900485,3.0102622576966933
TUR,2007,4.0452499876976535,6.552702778622262,6.364865470288844,3.14709236031927
TUR,2008,4.266722719504538,6.198816233298629,6.391777199209446,3.3637400228050165
TUR,2009,4.686435517848084,6.111421466049445,6.444692767528994,3.3865450399087793
TUR,2010,4.213274011969182,5.599453071230843,6.47998427186234,3.762827822120867
TUR,2011,4.068647970401118,5.538345699257502,6.484371226200075,3.7400228050171034
TUR,2012,4.132359296328458,5.437260838014309,6.576711891304548,3.8426453819840356
TUR,2013,4.120019798391946,4.810453411982882,6.613462871877023,4.960091220068414
TUR,2014,4.304405847201572,4.333254410744292,6.619391865585073,4.982896237172177
TUR,2015,4.487341682246251,4.122061707082875,6.602582545131226,5.336374002280501
TUR,2016,4.496755170264596,2.828103287369112,6.757139855420275,7.126567844925884
TUR,2017,4.572201954761773,2.1765053180478446,6.695834056630708,7.320410490307868
TUR,2018,4.548107960814295,2.2622159420034342,6.765228001605201,7.046750285062714
TUR,2019,5.007852163341518,2.2987567487663085,6.9067823265787025,6.875712656784492
TUR,2020,4.854220132325539,2.3763544407684547,6.711766573994214,6.966932725199544
TUR,2021,4.689397722454837,2.3545717948941993,6.487677220127741,7.001140250855188
TUR,2022,4.656995226861978,2.3088230950442004,6.523154056840468,7.035347776510832
EGY,2000,3.2938480458163375,2.9398838392230884,5.322891982401555,7.6282782212086655
EGY,2001,3.371318279119678,2.924551597308924,5.371446861599913,7.58266818700114
EGY,2002,3.468310621876978,2.924551597308924,5.417716153665683,7.58266818700114
EGY,2003,3.5471610735997903,2.924551597308924,5.467567802605109,7.58266818700114
EGY,2004,3.4700503741936193,2.9326241893870204,5.415112635805286,7.559863169897378
EGY,2005,3.5212318254419452,2.9382461671073337,5.4902789569428885,7.559863169897378
EGY,2006,3.4042203924940524,2.9530715708844677,5.217973725415683,7.58266818700114
EGY,2007,3.2074647191215306,2.9582231427855428,5.101282295464888,7.571265678449259
EGY,2008,3.159922290381177,2.9582231427855428,5.141128497100454,7.58266818700114
EGY,2009,3.219345173901117,2.946293172737704,5.142780288183783,7.605473204104904
EGY,2010,3.1344956377299886,2.9489703183762948,5.136438843456479,7.6168757126567845
EGY,2011,3.4251078464168163,3.766044928893682,5.141376325356301,6.659064994298745
EGY,2012,3.405923453062011,3.999618657625327,5.112451542363968,6.351197263397948
EGY,2013,3.576872861218481,2.792002986995603,5.0775134989613475,8.677309007981757
EGY,2014,3.670276253030216,2.345021477366354,5.101340296328588,9.156214367160775
EGY,2015,3.7479763996709576,2.2712707497484215,5.114993903427487,9.190421892816419
EGY,2016,3.6707227918362095,2.314274565513153,5.2229271874775,9.156214367160775
EGY,2017,3.5880420585668635,2.1674975896478212,5.2680607853361705,9.2018244013683
EGY,2018,3.387857383563074,2.162768704801154,5.4495003622635645,9.156214367160775
EGY,2019,3.193559084956067,2.207010244456779,5.5520534017467815,8.95096921322691
EGY,2020,3.0761347434850705,2.224259030227298,5.441480497824755,8.757126567844926
EGY,2021,2.860516111495622,2.2085416771149196,5.426725835601682,8.768529076396808
EGY,2022,2.7103585230027125,2.34324470108103,5.6004308744725435,8.460661345496009
TUN,2000,4.780489409316418,1.7897271407059703,7.060777938254847,7.594070695553022
TUN,2001,4.680409864770445,1.7897271407059703,7.106734212005766,7.594070695553022
TUN,2002,4.679276236934092,1.7977826901947305,6.9901252322827325,7.605473204104904
TUN,2003,4.555956353852798,1.7977826901947305,7.391855241140697,7.605473204104904
TUN,2004,4.4395626769417476,1.7788574421000405,7.3770542164448925,7.605473204104904
TUN,2005,4.287216145522931,1.8005797967225639,7.2896378089235645,7.594070695553022
TUN,2006,4.23437951697235,1.8586289538438272,7.300365542128017,7.639680729760547
TUN,2007,4.209581436702499,1.853084118177256,7.3202920660088635,7.6282782212086655
TUN,2008,4.277332817607076,1.8543741078573384,7.250214542068908,7.6282782212086655
TUN,2009,4.402050137445507,1.8462385541027762,7.342845260614555,7.58266818700114
TUN,2010,4.39477265653046,2.0228276785299606,7.099286099234291,7.571265678449259
TUN,2011,4.920149326048774,6.732881960950415,7.0373573981558835,2.314709236031927
TUN,2012,4.62881909472299,8.216750778443288,6.997779757819518,2.1208665906499427
TUN,2013,4.37698764736722,8.116567909206896,7.020245659013489,2.3831242873432146
TUN,2014,4.08326404755478,8.11049121774355,7.060486193641016,2.42873432155074
TUN,2015,4.1033246364038884,8.174422302885034,7.107865957005079,2.1436716077537055
TUN,2016,4.155699373384679,8.098678087000167,7.131678822506733,2.098061573546179
TUN,2017,4.12576346506407,8.183372751733314,7.180093905197157,1.8015963511972632
TUN,2018,4.145980161423169,8.175789718214691,7.231568434430162,1.9954389965792458
TUN,2019,4.352871398294907,8.167761674561861,7.264760398822697,2.098061573546179
TUN,2020,4.602122635955377,8.11057700935294,7.683225674644116,2.086659064994299
TUN,2021,4.266121521322846,7.289203727118951,7.390184419462709,2.098061573546179
TUN,2022,4.162882991208136,5.906199420752062,7.68158874717328,2.554161915621437
DZA,2000,5.070004538154597,3.6575759370568726,5.784147619101436,4.458380843785633
DZA,2001,4.828420357485809,3.6575759370568726,5.861373211390137,4.458380843785633
DZA,2002,4.641035161724009,3.6224787448322506,5.963521611524011,4.5610034207525665
DZA,2003,4.396608991848753,3.6335528058436934,5.97384906387148,4.5610034207525665
DZA,2004,3.8059282562054984,3.6295566497652545,6.0008183678714095,4.5610034207525665
DZA,2005,3.545604919430324,3.697775443854424,5.992486441657143,4.3215507411630565
DZA,2006,3.280873336732427,3.697775443854424,5.980256040750359,4.3215507411630565
DZA,2007,3.436667395589348,3.6717629562399834,5.9582794531122785,4.3215507411630565
DZA,2008,3.1957408615964047,3.6407568956394205,5.937151619504981,4.310148232611174
DZA,2009,3.09926036703355,3.6378347019363857,6.806714656197297,4.287343215507412
DZA,2010,3.0165137663807156,3.5872612425593675,7.672509555676979,4.332953249714937
DZA,2011,3.0480096937782726,3.6037249404325995,7.844151121548464,4.253135689851767
DZA,2012,3.1634024751889034,3.6316296955198175,7.01459412512514,4.150513112884835
DZA,2013,3.041627284137258,3.7435334315136757,6.890421777490357,4.150513112884835
DZA,2014,3.0558481901675147,3.757045216925345,6.816565552569688,4.184720638540479
DZA,2015,3.175001686561175,3.8047736485675814,6.685484169669394,4.093500570125428
DZA,2016,3.0591305294970272,3.60337437104382,6.822117761082357,4.960091220068414
DZA,2017,3.286126707605443,3.522102128898901,6.541566405318587,4.538198403648803
DZA,2018,3.297771446816866,3.5444242851061123,6.620635523876229,4.618015963511973
DZA,2019,3.3243847559339192,3.3578589461419277,6.553364423521152,4.469783352337514
DZA,2020,3.608659795792727,3.310513457828189,6.612421894416819,4.8232611174458375
DZA,2021,3.4097134301704592,3.045114710571472,6.559135996499801,5.6442417331813
DZA,2022,3.2810494251182627,2.780667132150336,6.376330309920854,6.408209806157355
MAR,2000,4.6638628753527005,4.64465132852745,5.642218247900547,4.27594070695553
MAR,2001,4.4592031134942705,4.730067041750654,5.72508106708404,4.264538198403649
MAR,2002,4.439955148475774,4.764083887507358,5.795489581704139,4.264538198403649
MAR,2003,4.4319393116789545,4.729290972185417,5.833624014187006,4.310148232611174
MAR,2004,4.349175262140886,4.729290972185417,5.8577017606331685,4.310148232611174
MAR,2005,4.394593100083216,4.811492837676225,5.8972572670879115,4.298745724059293
MAR,2006,4.177471404647264,4.77909207781304,5.933281386690548,4.3215507411630565
MAR,2007,4.225623954351322,4.818389788521613,5.968988608268556,4.287343215507412
MAR,2008,4.170922664397295,4.774043021647106,6.0090820039785315,4.27594070695553
MAR,2009,4.125329884859577,4.770702413167341,6.028494996142712,4.264538198403649
MAR,2010,4.127038534558884,4.884827030707747,6.148479109522292,4.150513112884835
MAR,2011,4.056810529468139,4.992034868043911,6.296225266264795,4.036488027366021
MAR,2012,4.091280290979336,4.998907484400062,6.451181073527086,4.025085518814139
MAR,2013,4.080253191581092,4.937079747579984,6.511279058988401,4.059293044469783
MAR,2014,4.1522030696793575,4.931809796759028,6.561560435935168,4.082098061573546
MAR,2015,4.097825168244308,4.91284373276114,6.471027328978015,4.036488027366021
MAR,2016,4.148718792097442,4.943745619416799,6.486770338464271,4.013683010262258
MAR,2017,4.061019880080977,5.04157683128977,6.397916597662029,4.002280501710375
MAR,2018,4.099560900190673,5.081749750595401,6.523581582349093,3.8654503990877984
MAR,2019,4.09292824539371,5.0744362922148625,6.572031401679136,3.8768529076396803
MAR,2020,4.4759068729449725,4.964874751879813,6.975676444462786,3.922462941847206
MAR,2021,4.140348610907324,5.035765301075876,6.771046189150641,3.808437856328392
MAR,2022,4.1342611599307135,5.2094825100816795,7.04260866059224,3.785632839224629
ARE,2000,2.673984935607251,2.3195365668538903,6.103266919020736,6.738882554161915
ARE,2001,2.844662634542222,2.3195365668538903,6.272852700365543,6.738882554161915
ARE,2002,2.8446153404751664,2.2900011984628703,6.41115030453863,6.85290763968073
ARE,2003,2.7582180984686495,2.267992709963418,6.513598283155672,6.85290763968073
ARE,2004,2.7463483027502034,2.1781740515915486,6.6290347629595665,6.909920182440137
ARE,2005,2.836184562885011,2.2210776573594893,6.756118037436767,6.830102622576967
ARE,2006,2.7715816812435197,2.260702076734075,6.938275250709296,6.795895096921322
ARE,2007,2.9529121289298246,2.4172738152668165,7.053347763495847,6.738882554161915
ARE,2008,2.937413296329438,2.427615210163129,7.217555849288227,6.704675028506271
ARE,2009,3.0032440622475356,2.45367969537671,7.1889285125588245,6.567844925883694
ARE,2010,2.809296054529208,2.4764856396783395,7.215915916305986,6.5222348916761685
ARE,2011,2.7162694818578936,2.403384091904762,7.231178718333041,7.035347776510832
ARE,2012,2.73496496466189,2.496178752615429,7.236293034896758,6.7616875712656785
ARE,2013,2.7112219349232833,2.5335438972663122,7.242190936751321,6.738882554161915
ARE,2014,2.5979537308403304,2.5307207842194215,7.269702031035322,6.590649942987456
ARE,2015,2.4315653235442625,2.556933187899018,7.313189090853974,6.453819840364881
ARE,2016,2.3149827126813523,2.5660682372284347,7.3512801469759,6.339794754846066
ARE,2017,2.367000060126152,2.527692533223642,7.3765243256832465,6.488027366020524
ARE,2018,2.1497706184101224,2.5485013425825143,7.415685907272331,6.465222348916763
ARE,2019,2.1593475242961717,2.493717868183321,7.450692031840899,6.738882554161915
ARE,2020,2.512324922222559,2.4725583405873066,7.418418201036573,6.738882554161915
ARE,2021,2.1959513864250892,2.3656598555835795,7.210079911495394,7.183580387685291
ARE,2022,2.180242747195466,2.4127667249726157,7.337649116603441,7.103762827822121
ISR,2000,4.163083474248966,8.767627287291187,6.9936469621008115,1.44811858608894
ISR,2001,4.374953973052011,8.734327554098233,7.14194703015491,1.5507411630558714
ISR,2002,4.554262830771936,8.734496443836509,7.189806203983298,1.573546180159635
ISR,2003,4.692040401306297,8.717767324616988,7.13037703354042,1.573546180159635
ISR,2004,4.663004286507157,8.716390672634608,7.05422311250216,1.573546180159635
ISR,2005,4.569771566326834,8.716390672634608,7.017039389349055,1.573546180159635
ISR,2006,4.416133093699784,8.730485349722631,7.0367922827895555,1.573546180159635
ISR,2007,4.2187018665079945,8.708908138937366,6.925810420760869,1.573546180159635
ISR,2008,4.147614583929197,8.733417942858935,6.959736619420778,1.573546180159635
ISR,2009,4.477694266053385,8.713060838691103,6.973627679674441,1.573546180159635
ISR,2010,4.284076121571786,8.665304281292022,6.975848353421884,1.6077537058152789
